57610.0, {'gneJ207': np.float32(0.0)}, {'gneJ207': 0}, {'gneJ207': 0}, 
57620.0, {'gneJ207': np.float32(-0.004464286)}, {'gneJ207': 1}, {'gneJ207': 1}, 
57630.0, {'gneJ207': np.float32(-0.05357143)}, {'gneJ207': 1}, {'gneJ207': 2}, 
57640.0, {'gneJ207': np.float32(0.0)}, {'gneJ207': 0}, {'gneJ207': 0}, 
57650.0, {'gneJ207': np.float32(-0.017857144)}, {'gneJ207': 1}, {'gneJ207': 1}, 
57660.0, {'gneJ207': np.float32(-0.17410715)}, {'gneJ207': 3}, {'gneJ207': 5}, 
57670.0, {'gneJ207': np.float32(-0.51785713)}, {'gneJ207': 3}, {'gneJ207': 10}, 
57680.0, {'gneJ207': np.float32(-0.78125)}, {'gneJ207': 4}, {'gneJ207': 9}, 
57690.0, {'gneJ207': np.float32(-0.25)}, {'gneJ207': 2}, {'gneJ207': 4}, 
57700.0, {'gneJ207': np.float32(-0.15178572)}, {'gneJ207': 6}, {'gneJ207': 6}, 
57710.0, {'gneJ207': np.float32(-0.25892857)}, {'gneJ207': 6}, {'gneJ207': 6}, 
57720.0, {'gneJ207': np.float32(-0.6473214)}, {'gneJ207': 8}, {'gneJ207': 12}, 
57730.0, {'gneJ207': np.float32(-0.8125)}, {'gneJ207': 9}, {'gneJ207': 12}, 
57740.0, {'gneJ207': np.float32(-1.0625)}, {'gneJ207': 11}, {'gneJ207': 12}, 
57750.0, {'gneJ207': np.float32(-1.2767857)}, {'gneJ207': 9}, {'gneJ207': 13}, 
57760.0, {'gneJ207': np.float32(-1.2142857)}, {'gneJ207': 7}, {'gneJ207': 11}, 
57770.0, {'gneJ207': np.float32(-1.5758928)}, {'gneJ207': 7}, {'gneJ207': 12}, 
57780.0, {'gneJ207': np.float32(-1.7767857)}, {'gneJ207': 8}, {'gneJ207': 17}, 
57790.0, {'gneJ207': np.float32(-1.6339285)}, {'gneJ207': 10}, {'gneJ207': 12}, 
57800.0, {'gneJ207': np.float32(-2.169643)}, {'gneJ207': 11}, {'gneJ207': 12}, 
57810.0, {'gneJ207': np.float32(-1.9285715)}, {'gneJ207': 8}, {'gneJ207': 8}, 
57820.0, {'gneJ207': np.float32(-2.299107)}, {'gneJ207': 8}, {'gneJ207': 9}, 
57830.0, {'gneJ207': np.float32(-2.174107)}, {'gneJ207': 8}, {'gneJ207': 8}, 
57840.0, {'gneJ207': np.float32(-1.5267857)}, {'gneJ207': 6}, {'gneJ207': 8}, 
57850.0, {'gneJ207': np.float32(-1.1160715)}, {'gneJ207': 4}, {'gneJ207': 8}, 
57860.0, {'gneJ207': np.float32(-0.70089287)}, {'gneJ207': 5}, {'gneJ207': 9}, 
57870.0, {'gneJ207': np.float32(-1.2008928)}, {'gneJ207': 6}, {'gneJ207': 14}, 
57880.0, {'gneJ207': np.float32(-1.9017857)}, {'gneJ207': 7}, {'gneJ207': 18}, 
57890.0, {'gneJ207': np.float32(-0.90625)}, {'gneJ207': 5}, {'gneJ207': 8}, 
57900.0, {'gneJ207': np.float32(-0.70089287)}, {'gneJ207': 5}, {'gneJ207': 6}, 
57910.0, {'gneJ207': np.float32(-0.95089287)}, {'gneJ207': 6}, {'gneJ207': 6}, 
57920.0, {'gneJ207': np.float32(-0.78125)}, {'gneJ207': 4}, {'gneJ207': 6}, 
57930.0, {'gneJ207': np.float32(-1.1071428)}, {'gneJ207': 6}, {'gneJ207': 9}, 
57940.0, {'gneJ207': np.float32(-0.56696427)}, {'gneJ207': 4}, {'gneJ207': 5}, 
57950.0, {'gneJ207': np.float32(-0.22321428)}, {'gneJ207': 2}, {'gneJ207': 3}, 
57960.0, {'gneJ207': np.float32(-0.36607143)}, {'gneJ207': 3}, {'gneJ207': 4}, 
57970.0, {'gneJ207': np.float32(-0.58928573)}, {'gneJ207': 3}, {'gneJ207': 6}, 
57980.0, {'gneJ207': np.float32(-0.29910713)}, {'gneJ207': 2}, {'gneJ207': 4}, 
57990.0, {'gneJ207': np.float32(-0.04464286)}, {'gneJ207': 1}, {'gneJ207': 1}, 
58000.0, {'gneJ207': np.float32(0.0)}, {'gneJ207': 0}, {'gneJ207': 0}, 
58010.0, {'gneJ207': np.float32(-0.026785715)}, {'gneJ207': 1}, {'gneJ207': 1}, 
58020.0, {'gneJ207': np.float32(-0.102678575)}, {'gneJ207': 1}, {'gneJ207': 2}, 
58030.0, {'gneJ207': np.float32(0.0)}, {'gneJ207': 0}, {'gneJ207': 0}, 
58040.0, {'gneJ207': np.float32(-0.03125)}, {'gneJ207': 1}, {'gneJ207': 2}, 
58050.0, {'gneJ207': np.float32(-0.17857143)}, {'gneJ207': 2}, {'gneJ207': 4}, 
58060.0, {'gneJ207': np.float32(-0.35714287)}, {'gneJ207': 2}, {'gneJ207': 4}, 
58070.0, {'gneJ207': np.float32(0.0)}, {'gneJ207': 0}, {'gneJ207': 0}, 
58080.0, {'gneJ207': np.float32(-0.09821428)}, {'gneJ207': 2}, {'gneJ207': 5}, 
58090.0, {'gneJ207': np.float32(-0.12946428)}, {'gneJ207': 1}, {'gneJ207': 2}, 
58100.0, {'gneJ207': np.float32(-0.125)}, {'gneJ207': 1}, {'gneJ207': 2}, 
58110.0, {'gneJ207': np.float32(-0.12053572)}, {'gneJ207': 2}, {'gneJ207': 4}, 
58120.0, {'gneJ207': np.float32(-0.35267857)}, {'gneJ207': 3}, {'gneJ207': 6}, 
58130.0, {'gneJ207': np.float32(-0.65178573)}, {'gneJ207': 4}, {'gneJ207': 7}, 
58140.0, {'gneJ207': np.float32(-0.08035714)}, {'gneJ207': 1}, {'gneJ207': 2}, 
58150.0, {'gneJ207': np.float32(-0.14285715)}, {'gneJ207': 1}, {'gneJ207': 2}, 
58160.0, {'gneJ207': np.float32(0.0)}, {'gneJ207': 0}, {'gneJ207': 0}, 
58170.0, {'gneJ207': np.float32(0.0)}, {'gneJ207': 0}, {'gneJ207': 0}, 
58180.0, {'gneJ207': np.float32(0.0)}, {'gneJ207': 0}, {'gneJ207': 0}, 
58190.0, {'gneJ207': np.float32(-0.04017857)}, {'gneJ207': 1}, {'gneJ207': 2}, 
58200.0, {'gneJ207': np.float32(0.0)}, {'gneJ207': 0}, {'gneJ207': 0}, 
58210.0, {'gneJ207': np.float32(-0.04017857)}, {'gneJ207': 1}, {'gneJ207': 1}, 
58220.0, {'gneJ207': np.float32(-0.017857144)}, {'gneJ207': 1}, {'gneJ207': 1}, 
58230.0, {'gneJ207': np.float32(-0.0625)}, {'gneJ207': 1}, {'gneJ207': 1}, 
58240.0, {'gneJ207': np.float32(0.0)}, {'gneJ207': 0}, {'gneJ207': 0}, 
58250.0, {'gneJ207': np.float32(-0.004464286)}, {'gneJ207': 1}, {'gneJ207': 1}, 
58260.0, {'gneJ207': np.float32(-0.013392857)}, {'gneJ207': 1}, {'gneJ207': 2}, 
58270.0, {'gneJ207': np.float32(-0.07589286)}, {'gneJ207': 2}, {'gneJ207': 4}, 
58280.0, {'gneJ207': np.float32(-0.071428575)}, {'gneJ207': 1}, {'gneJ207': 1}, 
58290.0, {'gneJ207': np.float32(-0.017857144)}, {'gneJ207': 1}, {'gneJ207': 1}, 
58300.0, {'gneJ207': np.float32(-0.03125)}, {'gneJ207': 2}, {'gneJ207': 3}, 
58310.0, {'gneJ207': np.float32(-0.26785713)}, {'gneJ207': 3}, {'gneJ207': 8}, 
58320.0, {'gneJ207': np.float32(-0.3482143)}, {'gneJ207': 4}, {'gneJ207': 8}, 
58330.0, {'gneJ207': np.float32(-0.05357143)}, {'gneJ207': 1}, {'gneJ207': 1}, 
58340.0, {'gneJ207': np.float32(-0.125)}, {'gneJ207': 3}, {'gneJ207': 5}, 
58350.0, {'gneJ207': np.float32(-0.013392857)}, {'gneJ207': 1}, {'gneJ207': 1}, 
58360.0, {'gneJ207': np.float32(-0.058035713)}, {'gneJ207': 1}, {'gneJ207': 1}, 
58370.0, {'gneJ207': np.float32(0.0)}, {'gneJ207': 0}, {'gneJ207': 0}, 
58380.0, {'gneJ207': np.float32(-0.08928572)}, {'gneJ207': 1}, {'gneJ207': 4}, 
58390.0, {'gneJ207': np.float32(-0.38839287)}, {'gneJ207': 3}, {'gneJ207': 9}, 
58400.0, {'gneJ207': np.float32(-0.35714287)}, {'gneJ207': 3}, {'gneJ207': 6}, 
58410.0, {'gneJ207': np.float32(-0.45535713)}, {'gneJ207': 3}, {'gneJ207': 5}, 
58420.0, {'gneJ207': np.float32(0.0)}, {'gneJ207': 0}, {'gneJ207': 0}, 
58430.0, {'gneJ207': np.float32(0.0)}, {'gneJ207': 0}, {'gneJ207': 0}, 
58440.0, {'gneJ207': np.float32(-0.026785715)}, {'gneJ207': 1}, {'gneJ207': 2}, 
58450.0, {'gneJ207': np.float32(-0.17410715)}, {'gneJ207': 2}, {'gneJ207': 4}, 
58460.0, {'gneJ207': np.float32(-0.013392857)}, {'gneJ207': 1}, {'gneJ207': 1}, 
58470.0, {'gneJ207': np.float32(0.0)}, {'gneJ207': 0}, {'gneJ207': 0}, 
58480.0, {'gneJ207': np.float32(0.0)}, {'gneJ207': 0}, {'gneJ207': 0}, 
58490.0, {'gneJ207': np.float32(0.0)}, {'gneJ207': 0}, {'gneJ207': 0}, 
58500.0, {'gneJ207': np.float32(0.0)}, {'gneJ207': 0}, {'gneJ207': 0}, 
58510.0, {'gneJ207': np.float32(-0.16071428)}, {'gneJ207': 6}, {'gneJ207': 6}, 
58520.0, {'gneJ207': np.float32(-0.5535714)}, {'gneJ207': 10}, {'gneJ207': 11}, 
58530.0, {'gneJ207': np.float32(-1.15625)}, {'gneJ207': 10}, {'gneJ207': 14}, 
58540.0, {'gneJ207': np.float32(-1.0982143)}, {'gneJ207': 9}, {'gneJ207': 9}, 
58550.0, {'gneJ207': np.float32(-0.91964287)}, {'gneJ207': 6}, {'gneJ207': 8}, 
58560.0, {'gneJ207': np.float32(-0.76339287)}, {'gneJ207': 4}, {'gneJ207': 5}, 
58570.0, {'gneJ207': np.float32(-0.7410714)}, {'gneJ207': 4}, {'gneJ207': 5}, 
58580.0, {'gneJ207': np.float32(-0.66964287)}, {'gneJ207': 3}, {'gneJ207': 4}, 
58590.0, {'gneJ207': np.float32(-0.66964287)}, {'gneJ207': 3}, {'gneJ207': 3}, 
58600.0, {'gneJ207': np.float32(-0.026785715)}, {'gneJ207': 1}, {'gneJ207': 1}, 
